Complaint,Complaint_Clean,Category,Urgency,Complaint_Clean_Banglish
I never received the promised sign-up bonus. please fix this ASAP,I never received the promised sign-up bonus. please fix this ASAP,Promotions,Medium,Ami promised sign-up bonus ta kakhono paini. kindly eta fix korun ASAP
I can’t add a new address — button does nothing. — this is very frustrating,I can't add a new address - button does nothing. - this is very frustrating,Account & Shipping,Low,Ami kono new address add korte parchi na - button e click korle kichu hoy na. - eta khub e frustrating
Error message keeps popping up during login. — this is very frustrating,Error message keeps popping up during login. - this is very frustrating,Technical Issues,Immediate,Login er shomoy bar bar error message ashtese. - eta khub e frustrating
Can’t apply filters while browsing products. and I don't know what to do next,Can't apply filters while browsing products. and I don't know what to do next,Technical Issues,Medium,Products browse korar shomoy filters apply korte parchi na. ar ami bujhte parchi na ki korbo
I didn’t approve this transaction. please fix this ASAP,I didn't approve this transaction. please fix this ASAP,Payments,Medium,Ami ei transaction approve korini. kindly eta fix korun ASAP
I was charged twice for the same item. despite following all instructions,I was charged twice for the same item. despite following all instructions,Payments,Immediate,Ek-i item er jonno amake duibar charge kora hoyeche. shob instructions follow korar poro
Can’t reset my password — reset link doesn’t work. and I don't know what to do next,Can't reset my password - reset link doesn't work. and I don't know what to do next,Account & Shipping,Immediate,Password reset korte parchi na - reset link kaj kore na. ar ami bujhte parchi na ki korbo
One side of the headphones doesn't work. please fix this ASAP,One side of the headphones doesn't work. please fix this ASAP,Product Issues,Immediate,Headphones er ek side kaj kore na. kindly eta fix korun ASAP
"I used a valid code and it applied, but was later removed. please fix this ASAP","I used a valid code and it applied, but was later removed. please fix this ASAP",Promotions,Medium,"Ami ekta valid code use korechilam ebong seta applyo hoyechilo, kintu pore remove kore dewa hoyeche. kindly eta fix korun ASAP"
Credit card charged twice for single order,Credit card charged twice for single order,Payments,Immediate,Ekti orderer jonno credit card theke du bar taka kete niyeche.
Payment declined despite sufficient funds,Payment declined despite sufficient funds,Payments,High,Jothesto balance thaka sotteo payment decline kore diyeche.
Refund processed but not received after 14 days,Refund processed but not received after 14 days,Payments,Medium,Refund process kora hoyeche kintu 14 diner modheo paini.
Bank shows pending charge but no order confirmation,Bank shows pending charge but no order confirmation,Payments,Immediate,Bank pending charge dekhaocche kintu kono order confirmation nai.
Recurring subscription charged after cancellation,Recurring subscription charged after cancellation,Payments,High,Cancellation korar poro recurring subscription er taka kete niyeche.
Currency conversion fee higher than advertised,Currency conversion fee higher than advertised,Payments,Medium,Currency conversion fee advertise korar cheye beshi rakheche.
PayPal payment failed but amount deducted from account,PayPal payment failed but amount deducted from account,Payments,Immediate,PayPal payment fail koreche kintu account theke amount kete niyeche.
Partial refund missing from credit card statement,Partial refund missing from credit card statement,Payments,Medium,Credit card statement a partial refund missing ache.
Saved payment method charged instead of new card,Saved payment method charged instead of new card,Payments,High,Notun card er bodole saved payment method theke charge koreche.
Duplicate authorization holds on debit card,Duplicate authorization holds on debit card,Payments,Immediate,Debit card er upor duplicate authorization hold hoye ache.
Checkout shows 'payment successful' but order not created,Checkout shows 'payment successful' but order not created,Payments,High,Checkout a 'payment successful' dekhaocche kintu order create hoyni.
International transaction declined without reason,International transaction declined without reason,Payments,Medium,Kono karon charai international transaction decline koreche.
Gift card balance shows zero after purchase,Gift card balance shows zero after purchase,Payments,Immediate,Purchase korar por gift card er balance zero dekhaocche.
Payment processor added unexpected service fee,Payment processor added unexpected service fee,Payments,High,Payment processor unexpected service fee add koreche.
Credit card fraud alert triggered incorrectly,Credit card fraud alert triggered incorrectly,Payments,Medium,Credit card er fraud alert vul bhabe trigger hoyeche.
ACH transfer reversed without notification,ACH transfer reversed without notification,Payments,Immediate,Notification charai ACH transfer reverse hoye geche.
Wallet balance not applied during checkout,Wallet balance not applied during checkout,Payments,High,Checkout er shomoy wallet balance apply hoyni.
Payment method removed from account without consent,Payment method removed from account without consent,Payments,Medium,Consent charai account theke payment method remove kore diyeche.
Dynamic currency conversion rate was unfair,Dynamic currency conversion rate was unfair,Payments,Immediate,Dynamic currency conversion rate ta unfair chilo.
Split payment option failed mid-transaction,Split payment option failed mid-transaction,Payments,High,Split payment option transaction er majhkane fail koreche.
Declined card works on other websites,Declined card works on other websites,Payments,Medium,Declined card onno website a kaj korche.
Recurring payment date changed without notice,Recurring payment date changed without notice,Payments,Immediate,Notice charai recurring payment er date change kore diyeche.
3D Secure verification failed repeatedly,3D Secure verification failed repeatedly,Payments,Medium,3D Secure verification bar bar fail koreche.
Payment gateway timeout caused duplicate charge,Payment gateway timeout caused duplicate charge,Payments,Immediate,Payment gateway timeout er karonhe duplicate charge hoyeche.
Bank chargeback incorrectly denied,Bank chargeback incorrectly denied,Payments,High,Bank chargeback vul bhabe deny koreche.
Stored card information expired but still charged,Stored card information expired but still charged,Payments,Medium,Stored card information expire hoye giyeche tobuo charge koreche.
Mobile payment app scan failed at checkout,Mobile payment app scan failed at checkout,Payments,Immediate,Checkout er shomoy mobile payment app er scan fail koreche.
Partial capture of authorized amount missing,Partial capture of authorized amount missing,Payments,High,Authorized amount er partial capture missing ache.
Payment processor held funds for 30+ days,Payment processor held funds for 30+ days,Payments,Medium,Payment processor 30+ diner jonno fund hold kore rekheche.
Checkout auto-selected premium payment method,Checkout auto-selected premium payment method,Payments,Immediate,Checkout auto-select kore premium payment method niyeche.
Family account shared payment without approval,Family account shared payment without approval,Payments,High,Approval charai family account theke payment shahre hoyeche.
Currency fluctuation made final charge higher,Currency fluctuation made final charge higher,Payments,Medium,Currency fluctuation er karonhe final charge beshi eseche.
Payment confirmation email never arrived,Payment confirmation email never arrived,Payments,Immediate,Payment confirmation email kokhono asheni.
Virtual terminal transaction disappeared,Virtual terminal transaction disappeared,Payments,High,Virtual terminal transaction gayeb hoye geche.
Payment method limit reached incorrectly,Payment method limit reached incorrectly,Payments,Medium,Payment method er limit vul bhabe reach dekhacche.
Pre-authorized charge never finalized,Pre-authorized charge never finalized,Payments,Immediate,Pre-authorized charge kokhono finalize hoyni.
Cross-border fee not disclosed during checkout,Cross-border fee not disclosed during checkout,Payments,High,Checkout er shomoy cross-border fee disclose koreni.
Payment plan installment failed automatically,Payment plan installment failed automatically,Payments,Medium,Payment plan er installment automatically fail koreche.
Digital wallet payment showed error but went through,Digital wallet payment showed error but went through,Payments,Immediate,Digital wallet payment error dekhieche kintu complete hoye geche.
Charge appeared in wrong currency,Charge appeared in wrong currency,Payments,High,Bhul currency te charge eseche.
Payment processor account suddenly suspended,Payment processor account suddenly suspended,Payments,Medium,Payment processor er account hothat suspend hoye geche.
Recurring payment amount increased secretly,Recurring payment amount increased secretly,Payments,Immediate,Lukiye lukiye recurring payment er amount bariye diyeche.
One-click checkout charged wrong card,One-click checkout charged wrong card,Payments,High,One-click checkout theke bhul card a charge koreche.
Payment dispute evidence submission failed,Payment dispute evidence submission failed,Payments,Medium,Payment dispute er evidence submission fail koreche.
Bank blocked legitimate e-commerce transaction,Bank blocked legitimate e-commerce transaction,Payments,Immediate,Bank legitimate e-commerce transaction block kore diyeche.
Payment method verification charge not refunded,Payment method verification charge not refunded,Payments,High,Payment method verification charge refund kora hoyni.
Checkout showed different amount than charged,Checkout showed different amount than charged,Payments,Medium,Checkout a je amount chilo charge tar cheye alada eseche.
Payment link expired before completion,Payment link expired before completion,Payments,Immediate,Complete korar agei payment link expire hoye geche.
Subscription payment skipped billing cycle,Subscription payment skipped billing cycle,Payments,High,Subscription payment billing cycle skip koreche.
Payment processor changed exchange rate unfairly,Payment processor changed exchange rate unfairly,Payments,Medium,Payment processor unfair bhabe exchange rate change koreche.
Digital payment receipt contains errors,Digital payment receipt contains errors,Payments,Immediate,Digital payment receipt e bhul ache
Auto-pay attempted after cancellation,Auto-pay attempted after cancellation,Payments,High,Cancellation er por o auto-pay try kora hoise
Payment method country restriction not stated,Payment method country restriction not stated,Payments,Medium,Payment method er country restriction bola hoyni
Charge appeared under different merchant name,Charge appeared under different merchant name,Payments,Immediate,Charge onno ekta merchant name e ashche
Payment authorization held too long,Payment authorization held too long,Payments,High,Payment authorization onekkhon hold kore rakha hoise
Partial payment option disappeared at checkout,Partial payment option disappeared at checkout,Payments,Medium,Checkout er shomoy partial payment option chole geche
Payment failure message didn't explain reason,Payment failure message didn't explain reason,Payments,Immediate,Payment failure message e karon bojhano hoyni
Recurring payment interval changed secretly,Recurring payment interval changed secretly,Payments,High,Recurring payment er interval koriye change kora hoise
Payment processor account access suddenly lost,Payment processor account access suddenly lost,Payments,Medium,Payment processor account er access hotath হারিয়ে geche
Checkout forced currency conversion unnecessarily,Checkout forced currency conversion unnecessarily,Payments,Immediate,Checkout er shomoy proyojon chara currency conversion force kora hoise
Payment method update didn't save properly,Payment method update didn't save properly,Payments,High,Payment method update thikmoto save hoyni
Bank charged international fee despite local vendor,Bank charged international fee despite local vendor,Payments,Medium,Local vendor howya sotteo bank international fee keteche
Payment retry system created duplicate orders,Payment retry system created duplicate orders,Payments,Immediate,Payment retry system duplicate order create koreche
Refund receipt shows wrong amount,Refund receipt shows wrong amount,Payments,High,Refund receipt e bhul amount dekhacche
Payment processor limited account without cause,Payment processor limited account without cause,Payments,Medium,Payment processor kono karon chara account limit koreche
Virtual credit card declined without reason,Virtual credit card declined without reason,Payments,Immediate,Kono karon chara virtual credit card decline kora hoise
Payment agreement terms changed retroactively,Payment agreement terms changed retroactively,Payments,High,Payment agreement er terms retroactively change kora hoise
Checkout didn't honor payment method discount,Checkout didn't honor payment method discount,Payments,Medium,Checkout e payment method er discount dewa hoyni
Payment verification step never completed,Payment verification step never completed,Payments,Immediate,Payment verification step kokhono complete hoyni
Recurring payment failed but service continues,Recurring payment failed but service continues,Payments,High,Recurring payment fail korse kintu service choltei ache
Payment processor froze funds during dispute,Payment processor froze funds during dispute,Payments,Medium,Dispute er shomoy payment processor funds freeze koreche
Bank statement shows unclear merchant descriptor,Bank statement shows unclear merchant descriptor,Payments,Immediate,Bank statement e unclear merchant descriptor dekhacche
Payment method removed after failed attempt,Payment method removed after failed attempt,Payments,High,Failed attempt er por payment method remove kore dewa hoise
Partial refund calculation was incorrect,Partial refund calculation was incorrect,Payments,Medium,Partial refund calculation bhul chilo
Payment authorization expired too quickly,Payment authorization expired too quickly,Payments,Immediate,Payment authorization onek taratari expire hoye geche
Digital payment app showed success but failed,Digital payment app showed success but failed,Payments,High,Digital payment app success dekhacche kintu fail hoise
Payment processor rejected valid ID verification,Payment processor rejected valid ID verification,Payments,Medium,Payment processor valid ID verification reject koreche
Charge appeared from unknown subsidiary,Charge appeared from unknown subsidiary,Payments,Immediate,Unknown subsidiary theke charge esheche
Payment plan terms changed without consent,Payment plan terms changed without consent,Payments,High,Consent chara payment plan er terms change kora hoise
Checkout page displayed wrong payment options,Checkout page displayed wrong payment options,Payments,Medium,Checkout page e bhul payment options dekhacche
Payment failure due to address mismatch,Payment failure due to address mismatch,Payments,Immediate,Address mismatch er karone payment fail hoise
Recurring payment reminder never sent,Recurring payment reminder never sent,Payments,High,Recurring payment er reminder kokhono pathano hoyni
Payment processor applied wrong tax jurisdiction,Payment processor applied wrong tax jurisdiction,Payments,Medium,Payment processor bhul tax jurisdiction apply koreche
Bank reversed legitimate e-commerce payment,Bank reversed legitimate e-commerce payment,Payments,Immediate,Bank legitimate e-commerce payment reverse koreche
Payment method icon showed incorrectly,Payment method icon showed incorrectly,Payments,High,Payment method er icon bhul dekhacche
Payment gateway connection failed repeatedly,Payment gateway connection failed repeatedly,Payments,Immediate,Payment gateway connection bar bar fail korse
Subscription payment method update didn't save,Subscription payment method update didn't save,Payments,High,Subscription payment method update save hoyni
Payment processor charged incorrect conversion,Payment processor charged incorrect conversion,Payments,Medium,Payment processor bhul conversion charge koreche
Checkout forced payment method registration,Checkout forced payment method registration,Payments,Immediate,Checkout e payment method registration force kora hoise
Payment authorization disappeared from history,Payment authorization disappeared from history,Payments,High,History theke payment authorization chole geche
Bank charged cash advance fee incorrectly,Bank charged cash advance fee incorrectly,Payments,Medium,Bank vulbabe cash advance fee keteche
Payment retry caused overdraft fee,Payment retry caused overdraft fee,Payments,Immediate,Payment retry er karone overdraft fee ashche
Refund to original payment method not possible,Refund to original payment method not possible,Payments,High,Original payment method e refund paoya shombhob na
Payment processor demanded unnecessary KYC,Payment processor demanded unnecessary KYC,Payments,Medium,Payment processor unnecessary KYC demand korse
Virtual terminal transaction lacked details,Virtual terminal transaction lacked details,Payments,Immediate,Virtual terminal transaction e details chilo na
Payment plan auto-changed to higher amount,Payment plan auto-changed to higher amount,Payments,High,Payment plan auto-change hoye beshi amount hoye geche
Checkout didn't show payment processor fees,Checkout didn't show payment processor fees,Payments,Medium,Checkout e payment processor er fee dekhayni
Payment method country verification failed,Payment method country verification failed,Payments,Immediate,Payment method er country verification fail korse
Tracking shows 'delivered' but nothing received,Tracking shows 'delivered' but nothing received,Order Tracking,Immediate,Tracking e 'delivered' dekhacche kintu kichu pai ni
No tracking number provided after 5 business days,No tracking number provided after 5 business days,Order Tracking,High,5 business days poreo kono tracking number dewa hoyni
Tracking stuck on 'label created' for 1 week,Tracking stuck on 'label created' for 1 week,Order Tracking,Medium,1 week dhore tracking 'label created' e stuck hoye ache
Carrier website says 'invalid tracking number',Carrier website says 'invalid tracking number',Order Tracking,High,Carrier website bolche 'invalid tracking number'
Package marked delivered to wrong city/state,Package marked delivered to wrong city/state,Order Tracking,Immediate,Package vul city ba state e delivered dekhacche
Tracking status hasn't updated in 10+ days,Tracking status hasn't updated in 10+ days,Order Tracking,Medium,Tracking status 10+ din dhore update hoyni
Received someone else's tracking number,Received someone else's tracking number,Order Tracking,High,Onnaro karo tracking number peyechi
Multiple items show same tracking number,Multiple items show same tracking number,Order Tracking,Immediate,Onek gulo item e same tracking number dekhacche
Tracking shows 'return to sender' without reason,Tracking shows 'return to sender' without reason,Order Tracking,High,Kono karon chara tracking e 'return to sender' dekhacche
Delivery date changed 5 times in system,Delivery date changed 5 times in system,Order Tracking,Medium,System e delivery date 5 bar change hoyeche
Tracking link goes to wrong carrier website,Tracking link goes to wrong carrier website,Order Tracking,Low,Tracking link vul carrier website e jacche
International package stuck at customs without updates,International package stuck at customs without updates,Order Tracking,High,International package kono update chara customs e stuck hoye ache
Tracking shows 'delivery attempted' but no notice left,Tracking shows 'delivery attempted' but no notice left,Order Tracking,Medium,Tracking e 'delivery attempted' dekhacche kintu kono notice fela hoyni
Order marked 'shipped' but carrier hasn't received it,Order marked 'shipped' but carrier hasn't received it,Order Tracking,High,Order 'shipped' dekhacche kintu carrier ekhono payni
Two tracking numbers for same order show different statuses,Two tracking numbers for same order show different statuses,Order Tracking,Immediate,Same order er duita tracking number alada status dekhacche
Tracking shows 'out for delivery' for 3 days,Tracking shows 'out for delivery' for 3 days,Order Tracking,Medium,Tracking 3 din dhore 'out for delivery' dekhacche
Customer received package but tracking shows 'pending',Customer received package but tracking shows 'pending',Order Tracking,High,Customer package peyeche kintu tracking 'pending' dekhacche
Tracking number from merchant doesn't work with carrier,Tracking number from merchant doesn't work with carrier,Order Tracking,Immediate,Merchant er dewa tracking number carrier er sathe kaj korche na
Package scanned at wrong distribution center,Package scanned at wrong distribution center,Order Tracking,Medium,Package vul distribution center e scan hoyeche
Delivery exception noted but no explanation,Delivery exception noted but no explanation,Order Tracking,High,Delivery exception dewa hoyeche kintu kono explanation nei
Tracking shows 'in transit' for 2 weeks with no location,Tracking shows 'in transit' for 2 weeks with no location,Order Tracking,Medium,Tracking 2 sokal dhore 'in transit' dekhacche kono location chara
Received tracking email but order shows 'unfulfilled',Received tracking email but order shows 'unfulfilled',Order Tracking,High,Tracking email peyechi kintu order 'unfulfilled' dekhacche
Carrier claims package delivered but security cameras show nothing,Carrier claims package delivered but security cameras show nothing,Order Tracking,Immediate,Carrier claim korche package delivered hoyeche kintu security camera te kichu nei
Tracking shows 'delivered to agent' but no agent exists,Tracking shows 'delivered to agent' but no agent exists,Order Tracking,High,Tracking 'delivered to agent' dekhacche kintu kono agent nei
Multiple packages merged under one tracking without notice,Multiple packages merged under one tracking without notice,Order Tracking,Medium,Kono notice chara ekta tracking er under e multiple package merge kora hoyeche
Tracking status in app contradicts carrier website,Tracking status in app contradicts carrier website,Order Tracking,High,App er tracking status carrier website er sathe milche na
Delivery date passed with no tracking updates,Delivery date passed with no tracking updates,Order Tracking,Immediate,Delivery date chole geche kintu kono tracking update nei
Tracking shows 'held at location' but no location given,Tracking shows 'held at location' but no location given,Order Tracking,High,Tracking 'held at location' dekhacche kintu kono location dewa hoyni
Package scanned as 'delivered' 24 hours before actual delivery,Package scanned as 'delivered' 24 hours before actual delivery,Order Tracking,Medium,Asol delivery er 24 ghonta age package 'delivered' hishebe scan kora hoyeche
International tracking stops at border crossing,International tracking stops at border crossing,Order Tracking,High,Border crossing e giye international tracking bondho hoye geche
Order marked 'complete' but never shipped,Order marked 'complete' but never shipped,Order Tracking,Immediate,Order 'complete' dekhacche kintu kakhono ship kora hoyni
Tracking shows 'returned' but customer didn't request return,Tracking shows 'returned' but customer didn't request return,Order Tracking,High,Tracking 'returned' dekhacche kintu customer return er request koreni
Carrier website shows different weight than ordered item,Carrier website shows different weight than ordered item,Order Tracking,Medium,Ordered item er theke carrier website e alada weight dekhacche
Delivery notification received for wrong address,Delivery notification received for wrong address,Order Tracking,High,Vul address er jonno delivery notification eseche
Tracking shows 'damaged' but no contact from carrier,Tracking shows 'damaged' but no contact from carrier,Order Tracking,Immediate,Tracking 'damaged' dekhacche kintu carrier theke kono contact nei
Package scanned at same location 5 days in a row,Package scanned at same location 5 days in a row,Order Tracking,Medium,Eki location e package 5 din dhore scan hochhe
Express shipping shows no better progress than standard,Express shipping shows no better progress than standard,Order Tracking,High,Express shipping er progress standard er theke valo na
Tracking number recycled from previous order,Tracking number recycled from previous order,Order Tracking,Medium,Ageer order er tracking number abar use kora hoyeche
Delivery timeframe window missed by 3+ days,Delivery timeframe window missed by 3+ days,Order Tracking,High,Delivery timeframe 3+ din miss hoye geche
Tracking shows 'weather delay' but no weather issues,Tracking shows 'weather delay' but no weather issues,Order Tracking,Immediate,Tracking 'weather delay' dekhacche kintu kono weather issue nei
Signature confirmation required but driver didn't collect,Signature confirmation required but driver didn't collect,Order Tracking,High,Signature confirmation lagto kintu driver collect koreni
Package dimensions in tracking don't match order,Package dimensions in tracking don't match order,Order Tracking,Medium,Tracking e package dimensions order er sathe milche na
Tracking shows 'delivered to mailbox' but no mailbox exists,Tracking shows 'delivered to mailbox' but no mailbox exists,Order Tracking,High,Tracking 'delivered to mailbox' dekhacche kintu kono mailbox nei
Order status changed from 'delivered' back to 'in transit',Order status changed from 'delivered' back to 'in transit',Order Tracking,Immediate,Order status 'delivered' theke abar 'in transit' e change hoyeche
Carrier claims 'business closed' but business was open,Carrier claims 'business closed' but business was open,Order Tracking,High,Carrier claim korche 'business closed' kintu business khola chilo
Tracking shows 'delivered to front door' for apartment building,Tracking shows 'delivered to front door' for apartment building,Order Tracking,Medium,Apartment building er jonno tracking 'delivered to front door' dekhacche
Delivery exception for 'invalid address' but address is correct,Delivery exception for 'invalid address' but address is correct,Order Tracking,High,Invalid address er jonno delivery exception eseche kintu address thik ache
Package shows 'out for delivery' in wrong timezone,Package shows 'out for delivery' in wrong timezone,Order Tracking,Immediate,Vul timezone e package 'out for delivery' dekhacche
Tracking updates only show country-level location,Tracking updates only show country-level location,Order Tracking,Medium,Tracking updates shudhu country-level location dekhacche
Delivery notification came 2 days after actual delivery,Delivery notification came 2 days after actual delivery,Order Tracking,High,Asol delivery er 2 din por delivery notification eseche
Tracking shows 'pending' but customer received item,Tracking shows 'pending' but customer received item,Order Tracking,Medium,Tracking 'pending' dekhacche kintu customer item peyeche
Carrier marked package 'undeliverable' without attempt,Carrier marked package 'undeliverable' without attempt,Order Tracking,High,Kono attempt chara carrier package ke 'undeliverable' mark koreche
Order status says 'shipped' but no tracking available,Order status says 'shipped' but no tracking available,Order Tracking,Immediate,Order status 'shipped' bolche kintu kono tracking available nai.
Tracking shows 'delivered to parcel locker' but no code provided,Tracking shows 'delivered to parcel locker' but no code provided,Order Tracking,High,Tracking e 'delivered to parcel locker' dekha hocche kintu kono code dewa hoyni.
Package scanned at destination facility then disappeared,Package scanned at destination facility then disappeared,Order Tracking,Medium,Package destination facility te scan howar por hariye geche.
Delivery timeframe promised by merchant doesn't match carrier,Delivery timeframe promised by merchant doesn't match carrier,Order Tracking,High,Merchant er dawa delivery timeframe carrier er sathe match korche na.
Tracking shows 'in transit' but carrier confirms lost,Tracking shows 'in transit' but carrier confirms lost,Order Tracking,Immediate,Tracking 'in transit' dekha hocche kintu carrier lost bole confirm korche.
Signature required but package left with unauthorized person,Signature required but package left with unauthorized person,Order Tracking,High,Signature lagto kintu package unauthorized person er kache rekhe geche.
Tracking shows 'delivered' but recipient was on vacation,Tracking shows 'delivered' but recipient was on vacation,Order Tracking,Medium,Tracking 'delivered' dekha hocche kintu recipient vacation e chilo.
Multiple tracking numbers for single order don't correlate,Multiple tracking numbers for single order don't correlate,Order Tracking,High,Ekta order er multiple tracking numbers match korche na.
Carrier attempted delivery outside business hours,Carrier attempted delivery outside business hours,Order Tracking,Immediate,Carrier business hours er baire delivery try koreche.
Tracking shows 'delivered to neighbor' but no neighbor has it,Tracking shows 'delivered to neighbor' but no neighbor has it,Order Tracking,High,Tracking e 'delivered to neighbor' dekha hocche kintu karur kachhei nei.
Package weight in tracking shows zero pounds,Package weight in tracking shows zero pounds,Order Tracking,Medium,Tracking e package weight zero pounds dekhacche.
Delivery notification lists wrong carrier,Delivery notification lists wrong carrier,Order Tracking,High,Delivery notification e bhul carrier er nam ase.
Tracking shows 'exception' but no details provided,Tracking shows 'exception' but no details provided,Order Tracking,Immediate,Tracking e 'exception' dekha hocche kintu kono details dewa hoyni.
Order marked 'shipped' but merchant admits not shipped,Order marked 'shipped' but merchant admits not shipped,Order Tracking,High,Order 'shipped' mark kora hoise kintu merchant admit korche je ship hoyni.
Package scanned at facility 500 miles from destination daily,Package scanned at facility 500 miles from destination daily,Order Tracking,Medium,Package roj destination theke 500 miles dure facility te scan hocche.
Tracking shows 'delivery attempted' but no doorbell rang,Tracking shows 'delivery attempted' but no doorbell rang,Order Tracking,High,Tracking e 'delivery attempted' dekhacche kintu kono doorbell baje nai.
Delivery date changed after cutoff time passed,Delivery date changed after cutoff time passed,Order Tracking,Immediate,Cutoff time chole jawar por delivery date change kora hoise.
Carrier claims 'recipient refused' but no attempt made,Carrier claims 'recipient refused' but no attempt made,Order Tracking,High,Carrier claim korche 'recipient refused' kintu kono attempt kora hoyni.
Tracking shows 'forwarded' but customer didn't request,Tracking shows 'forwarded' but customer didn't request,Order Tracking,Medium,Tracking e 'forwarded' dekhacche kintu customer request koreni.
Package scanned as 'sorted' then no updates for 1 week,Package scanned as 'sorted' then no updates for 1 week,Order Tracking,High,Package 'sorted' hishebe scan hoise tarpor 1 week kono update nai.
Delivery timeframe given by customer service was false,Delivery timeframe given by customer service was false,Order Tracking,Immediate,Customer service theke dawa delivery timeframe bhul chilo.
Tracking shows 'on vehicle' for 4 consecutive days,Tracking shows 'on vehicle' for 4 consecutive days,Order Tracking,High,Tracking e 4 din dhore 'on vehicle' dekhacche.
Carrier website shows delivery to wrong zip code,Carrier website shows delivery to wrong zip code,Order Tracking,Medium,Carrier website e bhul zip code e delivery dekhacche.
Order status changed to 'delivered' before shipping,Order status changed to 'delivered' before shipping,Order Tracking,High,Shipping er agei order status 'delivered' hoye geche.
Tracking shows 'inbound to customs' for 3 weeks,Tracking shows 'inbound to customs' for 3 weeks,Order Tracking,Immediate,Tracking e 3 week dhore 'inbound to customs' dekhacche.
Delivery notification lists wrong product description,Delivery notification lists wrong product description,Order Tracking,High,Delivery notification e bhul product description ase.
Package shows 'returned to sender' while in transit,Package shows 'returned to sender' while in transit,Order Tracking,Medium,In transit thaka obosthay package 'returned to sender' dekhacche.
Tracking updates only appear after delivery occurs,Tracking updates only appear after delivery occurs,Order Tracking,High,Delivery howar por tracking updates ashe.
Carrier left package in unsecured location despite instructions,Carrier left package in unsecured location despite instructions,Order Tracking,Immediate,Instructions thaka sotteo carrier insecure location e package fele geche.
Tracking shows 'delivered' but signature doesn't match,Tracking shows 'delivered' but signature doesn't match,Order Tracking,High,Tracking 'delivered' dekhacche kintu signature match korche na.
Delivery exception for 'animal interference' in high-rise building,Delivery exception for 'animal interference' in high-rise building,Order Tracking,Medium,High-rise building e 'animal interference' er jonno delivery exception.
Package scanned at origin facility then no updates,Package scanned at origin facility then no updates,Order Tracking,High,Origin facility te package scan howar por kono update nai.
Order status says 'shipped' but merchant can't provide tracking,Order status says 'shipped' but merchant can't provide tracking,Order Tracking,Immediate,Order status 'shipped' bolche kintu merchant tracking dite parche na.
Tracking shows 'delivered to dock' at residential address,Tracking shows 'delivered to dock' at residential address,Order Tracking,High,Residential address e 'delivered to dock' dekhacche tracking e.
Carrier marked 'delivery attempted' during known absence,Carrier marked 'delivery attempted' during known absence,Order Tracking,Medium,Known absence er shomoy carrier 'delivery attempted' mark koreche.
Package shows 'out for delivery' in wrong state,Package shows 'out for delivery' in wrong state,Order Tracking,High,Bhul state e package 'out for delivery' dekhacche.
Delivery notification lists incorrect recipient name,Delivery notification lists incorrect recipient name,Order Tracking,Immediate,Delivery notification e incorrect recipient name ase.
Tracking shows 'held for future delivery date' without request,Tracking shows 'held for future delivery date' without request,Order Tracking,High,Kono request chara tracking e 'held for future delivery date' dekhacche.
Carrier claims 'secure location' but package was stolen,Carrier claims 'secure location' but package was stolen,Order Tracking,Medium,Carrier 'secure location' claim korche kintu package churi hoye geche.
Package scanned as 'loaded on wrong truck' repeatedly,Package scanned as 'loaded on wrong truck' repeatedly,Order Tracking,High,Bar bar package 'loaded on wrong truck' hishebe scan hocche.
Order status changed to 'lost' after delivery timeframe,Order status changed to 'lost' after delivery timeframe,Order Tracking,Immediate,Delivery timeframe er por order status 'lost' hoye geche.
Tracking shows 'delivered to parcel room' but none exists,Tracking shows 'delivered to parcel room' but none exists,Order Tracking,High,Tracking e 'delivered to parcel room' dekhacche kintu emon kichu nei.
Delivery exception for 'missing apartment number' when provided,Delivery exception for 'missing apartment number' when provided,Order Tracking,Medium,Provide korar poro 'missing apartment number' er jonno delivery exception.
Package shows 'in transit' while return refund processed,Package shows 'in transit' while return refund processed,Order Tracking,High,Return refund process howar shomoy package 'in transit' dekhacche.
Tracking updates show impossible location jumps,Tracking updates show impossible location jumps,Order Tracking,Immediate,Tracking updates e impossible location jumps dekhacche.
Carrier marked 'delivered to receptionist' at home address,Carrier marked 'delivered to receptionist' at home address,Order Tracking,High,Home address e carrier 'delivered to receptionist' mark koreche.
Order status says 'delivered' but weight shows empty package,Order status says 'delivered' but weight shows empty package,Order Tracking,Medium,Order status 'delivered' bolche kintu weight e empty package dekhacche.
Tracking shows 'available for pickup' at wrong location,Tracking shows 'available for pickup' at wrong location,Order Tracking,High,Bhul location e tracking 'available for pickup' dekhacche.
Delivery notification came before shipping confirmation,Delivery notification came before shipping confirmation,Order Tracking,Immediate,Shipping confirmation er agei delivery notification chole ase.
Package scanned 'left at front desk' but no desk exists,Package scanned 'left at front desk' but no desk exists,Order Tracking,High,Package 'left at front desk' scan hoise kintu kono desk nei.
Carrier claims 'delivered to household member' but lives alone,Carrier claims 'delivered to household member' but lives alone,Order Tracking,Medium,Carrier boltese 'delivered to household member' kintu ami ekla thaki.
Tracking shows 'on hold' but no reason given,Tracking shows 'on hold' but no reason given,Order Tracking,High,Tracking e 'on hold' dekhaicche kintu kono karon dey nai.
Order status says 'shipped' but carrier has no record,Order status says 'shipped' but carrier has no record,Order Tracking,Immediate,Order status e 'shipped' dekhacche kintu carrier er kache kono record nai.
